correct_word,correct_word_similarity,top_minus_correct_similarity,similarity_index
iraq,0.7043536305427551,0.11668533086776733,27
thailand,0.7933360934257507,0.0,0
china,0.6583224534988403,0.07649052143096924,13
germany,0.7544088363647461,0.0,0
switzerland,0.6438443660736084,0.07657331228256226,37
egypt,0.6547918915748596,0.1271931529045105,49
australia,0.6252501010894775,0.07456398010253906,42
vietnam,0.6256347894668579,0.0675814151763916,49
cuba,0.7395904064178467,0.0,0
finland,0.7275954484939575,0.05078387260437012,2
pakistan,0.6562708616256714,0.07690775394439697,36
afghanistan,0.7809244990348816,0.0784650444984436,1
england,0.4367470145225525,0.052149683237075806,4
spain,0.6775349974632263,0.09980016946792603,10
russia,0.7562270164489746,0.0011109113693237305,1
norway,0.6659702062606812,0.05147212743759155,15
canada,0.6540648937225342,0.04912954568862915,18
france,0.6964645385742188,0.0,0
italy,0.6957374811172485,0.0,0
sweden,0.7516385316848755,0.0,0
iran,0.7318204641342163,0.02343606948852539,1
japan,0.6842882633209229,0.0634813904762268,4
thailand,0.521048367023468,0.10496944189071655,49
china,0.5065191984176636,0.13073056936264038,8
germany,0.5784986019134521,0.0,0
switzerland,0.5393874645233154,0.06499004364013672,49
egypt,0.5219919681549072,0.10462343692779541,41
australia,0.5749176144599915,0.0,0
vietnam,0.6275076270103455,0.02246302366256714,3
cuba,0.6365207433700562,0.0,0
finland,0.5960862636566162,0.0049037933349609375,2
pakistan,0.5175892114639282,0.1235659122467041,49
afghanistan,0.6533445715904236,0.09863072633743286,9
england,0.36962419748306274,0.15380102396011353,49
spain,0.4481652081012726,0.13547924160957336,49
russia,0.5557580590248108,0.0635216236114502,22
norway,0.5197222232818604,0.20513135194778442,49
canada,0.5493181347846985,0.046801865100860596,3
france,0.5204105377197266,0.0,0
italy,0.43594226241111755,0.15655669569969177,49
sweden,0.5526189804077148,0.01913672685623169,1
iran,0.5978345274925232,0.05836278200149536,10
japan,0.5392260551452637,0.0,0
greece,0.6195679306983948,0.0,0
china,0.7196265459060669,0.0,0
germany,0.6699722409248352,0.0,0
switzerland,0.58292555809021,0.07720446586608887,49
egypt,0.7075380086898804,0.016305267810821533,2
australia,0.5704487562179565,0.11310005187988281,49
vietnam,0.5846961736679077,0.09553885459899902,49
cuba,0.6857303380966187,0.004124999046325684,1
finland,0.6305196285247803,0.039220571517944336,8
pakistan,0.6623278856277466,0.03452861309051514,3
afghanistan,0.7392116785049438,0.0,0
england,0.4824017286300659,0.0,0
spain,0.6740423440933228,0.0,0
russia,0.7116239070892334,0.0,0
norway,0.6665632724761963,0.04155158996582031,11
canada,0.586391270160675,0.10272413492202759,23
france,0.6438281536102295,0.0,0
italy,0.6009335517883301,0.11987686157226562,15
sweden,0.7268436551094055,0.0,0
iran,0.7564109563827515,0.0,0
japan,0.6418869495391846,0.06967788934707642,3
greece,0.7362236976623535,0.0,0
iraq,0.5875504016876221,0.15384435653686523,49
germany,0.6369946002960205,0.0,0
switzerland,0.5570099949836731,0.07584124803543091,49
egypt,0.6974239349365234,0.00441509485244751,1
australia,0.5799964070320129,0.0,0
vietnam,0.5595244765281677,0.08556312322616577,3
cuba,0.6458320617675781,0.0,0
finland,0.5724740028381348,0.04090970754623413,2
pakistan,0.5540881752967834,0.07072502374649048,11
afghanistan,0.6802515983581543,0.0018041133880615234,1
england,0.4768049120903015,0.0,0
spain,0.5881619453430176,0.0,0
russia,0.6971543431282043,0.01754981279373169,1
norway,0.518478274345398,0.15558981895446777,49
canada,0.5148285627365112,0.024789810180664062,4
france,0.5571392178535461,0.0,0
italy,0.5345554947853088,0.1550876498222351,49
sweden,0.6296068429946899,0.0,0
iran,0.6393495202064514,0.0,0
japan,0.6877638101577759,0.0,0
greece,0.6114681959152222,0.07380807399749756,3
iraq,0.5565475225448608,0.14865583181381226,44
thailand,0.6668782830238342,0.0,0
switzerland,0.6375383138656616,0.05595940351486206,14
egypt,0.6198225021362305,0.06284260749816895,22
australia,0.6844888925552368,0.0,0
vietnam,0.5636163353919983,0.0870431661605835,49
cuba,0.7064772844314575,0.0,0
finland,0.6772249937057495,0.009066343307495117,2
pakistan,0.5691485404968262,0.07404869794845581,19
afghanistan,0.6737524271011353,0.03241860866546631,4
england,0.6585279703140259,0.0,0
spain,0.7045643329620361,0.00532001256942749,1
russia,0.7124108076095581,0.0,0
norway,0.7073664665222168,0.0,0
canada,0.6825313568115234,0.01655423641204834,1
france,0.7871987819671631,0.0,0
italy,0.6879867315292358,0.0,0
sweden,0.7962220907211304,0.0,0
iran,0.6407662630081177,0.028838634490966797,5
japan,0.6780633926391602,0.0,0
greece,0.7141892910003662,0.0,0
iraq,0.5881903171539307,0.10325837135314941,49
thailand,0.7119565010070801,0.0,0
china,0.6459472179412842,0.04068988561630249,3
egypt,0.5734250545501709,0.03712904453277588,19
australia,0.5832681059837341,0.0682268738746643,8
vietnam,0.5409868955612183,0.10272300243377686,49
cuba,0.6548377275466919,0.07087647914886475,5
finland,0.6250550746917725,0.016223371028900146,3
pakistan,0.5784330368041992,0.06324666738510132,8
afghanistan,0.6127890348434448,0.02238517999649048,3
england,0.508979320526123,0.0,0
spain,0.6142200231552124,0.023697972297668457,2
russia,0.5766177773475647,0.028873026371002197,3
norway,0.6366257071495056,0.007539093494415283,2
canada,0.5473383665084839,0.10067719221115112,19
france,0.6133071184158325,0.0,0
italy,0.65831458568573,0.0,0
sweden,0.7265956401824951,0.0,0
iran,0.604782223701477,0.04283207654953003,6
japan,0.5091917514801025,0.1167445182800293,30
greece,0.6602925062179565,0.0,0
iraq,0.5452908277511597,0.11804890632629395,49
thailand,0.6552329063415527,0.0,0
china,0.5189087390899658,0.0867544412612915,10
germany,0.7056237459182739,0.0,0
australia,0.49761635065078735,0.028675377368927002,9
vietnam,0.5169939398765564,0.05060768127441406,49
cuba,0.5476491451263428,0.06547439098358154,18
finland,0.6100934743881226,0.015027403831481934,4
pakistan,0.5157468318939209,0.09846824407577515,44
afghanistan,0.7273010015487671,0.0034297704696655273,1
england,0.5180478692054749,0.0,0
spain,0.6444549560546875,0.0,0
russia,0.6576030254364014,0.0,0
norway,0.5366322994232178,0.12527036666870117,20
canada,0.5065220594406128,0.04269707202911377,13
france,0.606447160243988,0.0,0
italy,0.558889627456665,0.15953588485717773,49
sweden,0.7209593057632446,0.0,0
iran,0.7214243412017822,0.0,0
japan,0.6304010152816772,0.0,0
greece,0.6545617580413818,0.011041522026062012,2
iraq,0.5815129280090332,0.17253923416137695,49
thailand,0.6324695944786072,0.0,0
china,0.663959801197052,0.0,0
germany,0.6019631624221802,0.0,0
switzerland,0.582421064376831,0.056336164474487305,49
vietnam,0.5162095427513123,0.0,0
cuba,0.5865028500556946,0.0,0
finland,0.4802643954753876,0.03711274266242981,6
pakistan,0.42137792706489563,0.10963395237922668,31
afghanistan,0.5300801992416382,0.020932555198669434,4
england,0.558915376663208,0.012587010860443115,1
spain,0.5425905585289001,0.04256159067153931,2
russia,0.5757884383201599,0.0,0
norway,0.5235508680343628,0.027838706970214844,4
canada,0.6872140169143677,0.0,0
france,0.556638240814209,0.0,0
italy,0.4839543104171753,0.05901294946670532,3
sweden,0.6354459524154663,0.0,0
iran,0.541155993938446,0.0,0
japan,0.666091799736023,0.0,0
greece,0.533234179019928,0.0,0
iraq,0.5145357847213745,0.05347943305969238,5
thailand,0.5619671940803528,0.0,0
china,0.6298085451126099,0.0,0
germany,0.6235772371292114,0.0,0
switzerland,0.4792459011077881,0.05134308338165283,25
egypt,0.5282543301582336,0.03216582536697388,1
cuba,0.5410888195037842,0.01966804265975952,2
finland,0.4416210651397705,0.07533615827560425,18
pakistan,0.46233081817626953,0.06078791618347168,18
afghanistan,0.5714482069015503,0.028568387031555176,2
england,0.42601120471954346,0.04350116848945618,5
spain,0.4304070770740509,0.07124438881874084,17
russia,0.45359158515930176,0.05964314937591553,20
norway,0.41925808787345886,0.11114534735679626,49
canada,0.5097731947898865,0.04201012849807739,4
france,0.4456136226654053,0.011994898319244385,1
italy,0.4191988408565521,0.1268673837184906,42
sweden,0.5387047529220581,0.0,0
iran,0.5690410733222961,0.011202037334442139,2
japan,0.533870279788971,0.013914346694946289,1
greece,0.4771218001842499,0.15403392910957336,5
iraq,0.5606025457382202,0.04284322261810303,1
thailand,0.5642227530479431,0.0,0
china,0.5517537593841553,0.009512543678283691,1
germany,0.4959782660007477,0.0,0
switzerland,0.43782874941825867,0.06620040535926819,49
egypt,0.4910731017589569,0.03803792595863342,6
australia,0.5413529872894287,0.0,0
finland,0.6598925590515137,0.0,0
pakistan,0.6381543874740601,0.028726637363433838,3
afghanistan,0.7860521078109741,0.0,0
england,0.4651568531990051,0.0,0
spain,0.6279890537261963,0.020133912563323975,1
russia,0.6499982476234436,0.0142287015914917,1
norway,0.5669337511062622,0.14399099349975586,49
canada,0.6366819739341736,0.0049002766609191895,1
france,0.651762068271637,0.0,0
italy,0.5268908739089966,0.11013853549957275,10
sweden,0.5983597636222839,0.036749184131622314,4
iran,0.7417363524436951,0.0,0
japan,0.6070517301559448,0.07564747333526611,4
greece,0.6701251268386841,0.0,0
iraq,0.6484032869338989,0.10125243663787842,12
thailand,0.6846407651901245,0.0,0
china,0.6436794400215149,0.05986672639846802,1
germany,0.6527127027511597,0.0,0
switzerland,0.5403200387954712,0.06935924291610718,38
egypt,0.6130212545394897,0.06531059741973877,12
australia,0.5916904211044312,0.030680418014526367,4
vietnam,0.5828285813331604,0.08796089887619019,42
pakistan,0.5422898530960083,0.0679275393486023,37
afghanistan,0.713996410369873,0.018049001693725586,1
england,0.590785562992096,0.0,0
spain,0.7072470188140869,0.0,0
russia,0.7182999849319458,0.0,0
norway,0.5907638072967529,0.11546814441680908,22
canada,0.5887948274612427,0.007460832595825195,4
france,0.6901540756225586,0.0,0
italy,0.6073362827301025,0.04553115367889404,7
sweden,0.7463086247444153,0.0,0
iran,0.6874780058860779,0.007571280002593994,1
japan,0.6554174423217773,0.0,0
greece,0.717083215713501,0.0,0
iraq,0.654761016368866,0.0788385272026062,17
thailand,0.6440023183822632,0.029591798782348633,4
china,0.6606569290161133,0.0,0
germany,0.7250207662582397,0.0,0
switzerland,0.5490047335624695,0.1011354923248291,49
egypt,0.6867382526397705,0.04916989803314209,9
australia,0.5488980412483215,0.03316277265548706,8
vietnam,0.575423538684845,0.1253821849822998,49
cuba,0.7159124612808228,0.0,0
afghanistan,0.7409185171127319,0.0,0
england,0.4901946783065796,0.0,0
spain,0.5609920024871826,0.027658462524414062,6
russia,0.6360560655593872,0.03994631767272949,2
norway,0.5398715734481812,0.11268067359924316,49
canada,0.6067250967025757,0.06459146738052368,4
france,0.6022961139678955,0.0,0
italy,0.5532022714614868,0.13141757249832153,10
sweden,0.6311028003692627,0.0,0
iran,0.6631924510002136,0.043170034885406494,5
japan,0.5475501418113708,0.1006360650062561,12
greece,0.6478152275085449,0.0,0
iraq,0.5787492990493774,0.14226830005645752,49
thailand,0.6953257918357849,0.017792165279388428,5
china,0.6350292563438416,0.014079511165618896,2
germany,0.6222012042999268,0.0,0
switzerland,0.5689579248428345,0.08099210262298584,49
egypt,0.6257275342941284,0.04201185703277588,11
australia,0.5796146988868713,0.0332181453704834,7
vietnam,0.5913905501365662,0.06181460618972778,20
cuba,0.6538022756576538,0.027381718158721924,4
finland,0.5729184150695801,0.033253014087677,18
england,0.36529093980789185,0.10390070080757141,49
spain,0.5160448551177979,0.1583377718925476,49
russia,0.6619240045547485,0.04205387830734253,1
norway,0.5714478492736816,0.12026071548461914,49
canada,0.650164008140564,0.01822662353515625,1
france,0.540881872177124,0.0,0
italy,0.5056995153427124,0.16853415966033936,45
sweden,0.6560214161872864,0.0,0
iran,0.7337601780891418,0.0,0
japan,0.6356768012046814,0.031086981296539307,3
greece,0.7274208068847656,0.0,0
iraq,0.6408485174179077,0.1528499722480774,15
thailand,0.6953959465026855,0.0,0
china,0.6493973731994629,0.011037588119506836,1
germany,0.5925899744033813,0.0,0
switzerland,0.6078561544418335,0.05206793546676636,49
egypt,0.6872529983520508,0.05008155107498169,2
australia,0.5629119277000427,0.10362416505813599,27
vietnam,0.5781654715538025,0.07895827293395996,49
cuba,0.6981782913208008,0.004788041114807129,2
finland,0.6101627945899963,0.05005383491516113,10
pakistan,0.6175216436386108,0.050946950912475586,7
spain,0.7564152479171753,0.0,0
russia,0.6271582245826721,0.008293509483337402,1
norway,0.6601572036743164,0.0,0
canada,0.573899507522583,0.1330472230911255,13
france,0.7056272029876709,0.0,0
italy,0.5908471941947937,0.08272546529769897,13
sweden,0.7136471271514893,0.0,0
iran,0.5536081194877625,0.0810742974281311,49
japan,0.5194172263145447,0.09459984302520752,28
greece,0.5675466656684875,0.08340102434158325,18
iraq,0.5934098958969116,0.08198833465576172,49
thailand,0.6288934946060181,0.032795488834381104,3
china,0.5381889343261719,0.0813601016998291,20
germany,0.6724955439567566,0.0,0
switzerland,0.5755480527877808,0.07175624370574951,49
egypt,0.5848225951194763,0.11517322063446045,47
australia,0.5997171401977539,0.04106873273849487,7
vietnam,0.5495452880859375,0.09276419878005981,49
cuba,0.6270346641540527,0.02977752685546875,6
finland,0.6079984307289124,0.012229859828948975,7
pakistan,0.5244853496551514,0.09494262933731079,49
afghanistan,0.5856074094772339,0.08325135707855225,49
russia,0.7198704481124878,0.0,0
norway,0.6212281584739685,0.04888540506362915,9
canada,0.6032103896141052,0.08024734258651733,7
france,0.7500864863395691,0.0,0
italy,0.6079443693161011,0.12046372890472412,24
sweden,0.7677434682846069,0.0,0
iran,0.6715093851089478,0.027187108993530273,7
japan,0.6445956230163574,0.024279415607452393,4
greece,0.7123413681983948,0.0008983016014099121,2
iraq,0.646541953086853,0.09513264894485474,49
thailand,0.708367645740509,0.0,0
china,0.6389560699462891,0.00034177303314208984,2
germany,0.6853695511817932,0.0,0
switzerland,0.5794165730476379,0.0829816460609436,49
egypt,0.7180466651916504,0.013865828514099121,1
australia,0.5394725799560547,0.0655943751335144,47
vietnam,0.5736747980117798,0.06532442569732666,49
cuba,0.6738042235374451,0.009759008884429932,1
finland,0.6666587591171265,0.00781404972076416,1
pakistan,0.5617817640304565,0.10371571779251099,49
afghanistan,0.6574891209602356,0.0907248854637146,30
england,0.65916907787323,0.0,0
norway,0.6786142587661743,0.02039116621017456,2
canada,0.6112587451934814,0.0644385814666748,5
france,0.7011643648147583,0.0,0
italy,0.573912501335144,0.11483931541442871,34
sweden,0.762229323387146,0.0,0
iran,0.660377025604248,0.08071404695510864,9
japan,0.6372678875923157,0.018164992332458496,1
greece,0.6931607723236084,0.0,0
iraq,0.6147705316543579,0.12461316585540771,49
thailand,0.7335509061813354,0.0,0
china,0.6624051332473755,0.0224381685256958,2
germany,0.6929290890693665,0.0,0
switzerland,0.6106945276260376,0.04350781440734863,49
egypt,0.6633121967315674,0.09626805782318115,19
australia,0.6146491765975952,0.03500008583068848,1
vietnam,0.5815709233283997,0.11576646566390991,49
cuba,0.6068798899650574,0.0636778473854065,44
finland,0.6292098164558411,0.0604478120803833,7
pakistan,0.5819974541664124,0.07436156272888184,49
afghanistan,0.6848136782646179,0.03650188446044922,7
england,0.5695383548736572,0.0,0
spain,0.6802501678466797,0.0018233060836791992,1
canada,0.5997503995895386,0.1283435821533203,25
france,0.6298606395721436,0.0,0
italy,0.6378463506698608,0.011809945106506348,3
sweden,0.788068950176239,0.0,0
iran,0.5638552904129028,0.10252761840820312,49
japan,0.5888192057609558,0.05060732364654541,8
greece,0.6208460330963135,0.0931558609008789,2
iraq,0.5800414681434631,0.10173577070236206,49
thailand,0.6865615248680115,0.009058654308319092,1
china,0.5551156401634216,0.10613006353378296,22
germany,0.6899377107620239,0.0,0
switzerland,0.6189915537834167,0.06931096315383911,49
egypt,0.5925781726837158,0.11804711818695068,49
australia,0.582635760307312,0.08897924423217773,45
vietnam,0.5432902574539185,0.06082808971405029,49
cuba,0.5749861001968384,0.07259988784790039,49
finland,0.5684336423873901,0.13354206085205078,49
pakistan,0.5411759614944458,0.07767713069915771,49
afghanistan,0.5899428725242615,0.0931016206741333,49
england,0.5967692136764526,0.0,0
spain,0.6125532388687134,0.027148842811584473,2
russia,0.6522488594055176,0.009708940982818604,1
france,0.5692938566207886,0.0,0
italy,0.5071364641189575,0.016502022743225098,2
sweden,0.6244288682937622,0.0,0
iran,0.5367954969406128,0.04453408718109131,5
japan,0.7112210392951965,0.0,0
greece,0.6041979193687439,0.0,0
iraq,0.4980943202972412,0.10979747772216797,33
thailand,0.6107373833656311,0.0,0
china,0.6371839046478271,0.0,0
germany,0.6451919674873352,0.0,0
switzerland,0.5331799983978271,0.04782623052597046,49
egypt,0.5660181641578674,0.0520591139793396,2
australia,0.7223306894302368,0.0,0
vietnam,0.5053563714027405,0.029429137706756592,11
cuba,0.6102432012557983,0.0,0
finland,0.5657865405082703,0.008257567882537842,1
pakistan,0.48380839824676514,0.06558239459991455,13
afghanistan,0.6515792608261108,0.0,0
england,0.5263986587524414,0.012323737144470215,1
spain,0.5615133047103882,0.03264033794403076,1
russia,0.5825097560882568,0.0,0
norway,0.5130895376205444,0.030102193355560303,6
italy,0.6250107288360596,0.049863994121551514,4
sweden,0.7605248093605042,0.0,0
iran,0.7080351114273071,0.04876112937927246,12
japan,0.656112790107727,0.08209896087646484,9
greece,0.716577410697937,0.0,0
iraq,0.6233408451080322,0.11330491304397583,49
thailand,0.7563514709472656,0.0,0
china,0.64492267370224,0.09348106384277344,11
germany,0.7796511650085449,0.0,0
switzerland,0.612256646156311,0.0854485034942627,49
egypt,0.6845709681510925,0.0856444239616394,14
australia,0.6470546722412109,0.06994473934173584,9
vietnam,0.604470431804657,0.0795336365699768,49
cuba,0.7382113933563232,0.0,0
finland,0.7038748860359192,0.015438973903656006,1
pakistan,0.6504009366035461,0.04091280698776245,13
afghanistan,0.7382814884185791,0.01691138744354248,2
england,0.6573591232299805,0.0,0
spain,0.7504971027374268,0.0,0
russia,0.7668437361717224,0.0,0
norway,0.6794251203536987,0.05169188976287842,11
canada,0.665389358997345,0.04290878772735596,4
sweden,0.7114203572273254,0.020861685276031494,2
iran,0.6275122165679932,0.08148050308227539,49
japan,0.5717229843139648,0.15865296125411987,24
greece,0.6960830688476562,0.0,0
iraq,0.6457737684249878,0.12934255599975586,49
thailand,0.7305185794830322,0.0,0
china,0.588220477104187,0.14269262552261353,39
germany,0.7627670168876648,0.0,0
switzerland,0.6827763319015503,0.020681381225585938,1
egypt,0.6308605670928955,0.08286106586456299,49
australia,0.6134655475616455,0.05674588680267334,16
vietnam,0.6070245504379272,0.0843467116355896,49
cuba,0.6728788614273071,0.05149418115615845,8
finland,0.6291369795799255,0.09578686952590942,18
pakistan,0.6097918152809143,0.09301477670669556,49
afghanistan,0.659564733505249,0.05477076768875122,12
england,0.45613333582878113,0.09208014607429504,19
spain,0.5988138914108276,0.1300603747367859,28
russia,0.6799988746643066,0.0,0
norway,0.7125177383422852,0.0,0
canada,0.6258111000061035,0.1033509373664856,18
france,0.6760038137435913,0.0,0
iran,0.7175815105438232,0.0,0
japan,0.6622741222381592,0.0,0
greece,0.7222963571548462,0.0,0
iraq,0.6293647289276123,0.1227465271949768,49
thailand,0.6914771795272827,0.0,0
china,0.6445549726486206,0.0,0
germany,0.7678496837615967,0.0,0
switzerland,0.5940905809402466,0.09919649362564087,49
egypt,0.7528838515281677,0.0,0
australia,0.6108496189117432,0.018935680389404297,2
vietnam,0.5692495107650757,0.1012493371963501,49
cuba,0.6134899854660034,0.04122859239578247,8
finland,0.7105305194854736,0.0,0
pakistan,0.54731285572052,0.08415055274963379,49
afghanistan,0.6949759721755981,0.025525212287902832,7
england,0.6514948606491089,0.0,0
spain,0.7652162909507751,0.0,0
russia,0.7267142534255981,0.0,0
norway,0.7052533030509949,0.0037119388580322266,2
canada,0.5795652866363525,0.11078459024429321,17
france,0.7231000065803528,0.0,0
italy,0.606326699256897,0.1680818796157837,20
japan,0.6338142156600952,0.0,0
greece,0.6916530132293701,0.0008411407470703125,1
iraq,0.635401725769043,0.11153686046600342,24
thailand,0.70939040184021,0.0,0
china,0.6272358894348145,0.0,0
germany,0.5819994211196899,0.0,0
switzerland,0.5509321689605713,0.07972574234008789,49
egypt,0.7774566411972046,0.0,0
australia,0.5464439988136292,0.07903212308883667,30
vietnam,0.5868481993675232,0.11677229404449463,49
cuba,0.6959705352783203,0.0,0
finland,0.6090212464332581,0.030012428760528564,10
pakistan,0.6086957454681396,0.06769341230392456,9
afghanistan,0.7833396196365356,0.0,0
england,0.46433669328689575,0.0,0
spain,0.6464120745658875,0.0,0
russia,0.6607668995857239,0.0,0
norway,0.5459690093994141,0.13427090644836426,49
canada,0.5072237253189087,0.10902267694473267,47
france,0.6100877523422241,0.0,0
italy,0.5509324669837952,0.1821051836013794,49
sweden,0.6925755739212036,0.0,0
greece,0.6997233629226685,0.0,0
iraq,0.5898400545120239,0.08788406848907471,18
thailand,0.6326000690460205,0.0,0
china,0.7360782623291016,0.0,0
germany,0.654935359954834,0.0,0
switzerland,0.5196617841720581,0.06171649694442749,49
egypt,0.6817284822463989,0.0,0
australia,0.6327331066131592,0.0,0
vietnam,0.5235835909843445,0.04959338903427124,15
